Name,Symbol
20 Microns Limited,20MICRONS
21st Century Management Services Limited,21STCENMGM
3i Infotech Limited,3IINFOTECH
3M India Limited,#REF!
3P Land Holdings Limited,3PLAND
3rd Rock Multimedia Limited,3RDROCK
5Paisa Capital Limited,5PAISA
63 Moons Technologies Limited,63MOONS
A and M Jumbo Bags Limited,AMJUMBO
A B Infrabuild Limited,ABINFRA
A B N Intercorp Limited,ABNINT
A2Z Infra Engineering Limited,A2ZINFRA
Aakash Exploration Services Limited,AAKASH
Aaron Industries Limited,AARON
Aarti Drugs Limited,AARTIDRUGS
Aarti Industries Limited,AARTIIND
Aarvee Denims & Exports Limited,AARVEEDEN
Aarvi Encon Limited,AARVI
Aavas Financiers Limited,AAVAS
Aban Offshore Limited,ABAN
ABB India Limited,ABB
ABB Power Products and Systems India Limited,POWERINDIA
ABM International Limited,ABMINTLTD
ACC Limited,ACC
Accelya Solutions India Limited,ACCELYA
Accord Synergy Limited,ACCORD
Accuracy Shipping Limited,ACCURACY
Ace Integrated Solutions Limited,ACEINTEG
Action Construction Equipment Limited,ACE
Adani Enterprises Limited,ADANIENT
Adani Gas Limited,ADANIGAS
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Adani Power Limited,ADANIPOWER
Adani Transmission Limited,ADANITRANS
ADF Foods Limited,ADFFOODS
Adhunik Industries Limited,ADHUNIKIND
Aditya Birla Capital Limited,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL
Aditya Birla Money Limited,BIRLAMONEY
Adlabs Entertainment Limited,ADLABS
Ador Welding Limited,ADORWELD
Adroit Infotech Limited,ADROITINFO
Advanced Enzyme Technologies Limited,ADVENZYMES
Advani Hotels & Resorts (India) Limited,ADVANIHOTR
Aegis Logistics Limited,AEGISCHEM
Affle (India) Limited,AFFLE
Agarwal Industrial Corporation Limited,AGARIND
AGC Networks Limited,AGCNET
Agri-Tech (India) Limited,AGRITECH
Agro Phos India Limited,AGROPHOS
Agro Tech Foods Limited,ATFL
Ahimsa Industries Limited,AHIMSA
Ahlada Engineers Limited,AHLADA
